dashboard_csv_file,column_name,date_reflected,last_updated_date,updated_by,notes
Facility Data/01 Decision Data Export.csv,EducationalAdequacy,Planning snapshot,,,Educational adequacy score or index from the district planning model; drives adequacy overlays and logic. Below50PCTL_EA_Cat (below 50th percentile Yes/No) is calculated in the dashboard from this column vs the district median — do not publish it in the CSV. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,SiteCapacity,Planning snapshot,,,Whether the physical site supports programmed capacity (district site-capacity classification). — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,SquareFt,Planning snapshot,,,"Building gross square feet; used for density, cost-per-SF, and condition context on map and tables. — Edit last_updated_date and updated_by when this field is refreshed."
Facility Data/01 Decision Data Export.csv,BuildingScore,Planning snapshot,,,Building-level planning score (condition / investment need) from the decision workbook. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,RecentInvestments,Planning snapshot,,,Whether meaningful recent capital investment is recorded (drives narratives and some overlays). — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,AttendanceAreaEnrollment,Planning snapshot,,,Total enrollment living in the school’s attendance area (district attribution). — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,NonPKAttendanceAreaEnrollment,Planning snapshot,,,Attendance-area enrollment excluding PK where the district splits PK from K–12 in this field. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,HighNeedStudents,Planning snapshot,,,High-need student count or share used in equity / planning indicators. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,ROFTSStudentsREceived,Planning snapshot,,,Students received under choice / overflow (ROFTS) rules; spelling follows the district export header. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,ClassroomEAScore,Planning snapshot,,,Classroom-focused educational adequacy score; maintained in this export (not overwritten by the room-schedule precompute). — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/01 Decision Data Export.csv,ClassroomCount,Planning snapshot,,,Count of general-education classrooms in the modernize classrooms bucket; can be recomputed from Jeffco Room Schedule via npm run precompute:ea-classrooms. — Edit last_updated_date and updated_by when this field is refreshed.
Facility Data/02 JeffCoProjectListAllSchools.csv,,,,,"Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information"
Facility Data/02 JeffCoProjectListAllSchools.csv,JeffCoFacilityID,Planning snapshot,,,"Facility id on the project-list row; joins to Decision Data Export and map metadata. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,UniqueID,Planning snapshot,,,"Campus unique id on the project-list row; ties deficiency and asset rows to one school. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,SchoolName,Planning snapshot,,,"School name as exported from CAFM / engineering; used with Facility Name and Building Name matching. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,SystemCategory,Planning snapshot,,,"High-level system bucket (e.g. 08_facilities deficiency, 07_Asset Life Cycle); drives grouping, FCI, and filters. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,AssetType,Planning snapshot,,,"Named system or line item within the category (e.g. HVAC, roof); keys unit-cost and schedule rollups. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,PriorityScore,Planning snapshot,,,"District renewal priority 1–4 when populated; used in priority cost rollups in the map model. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,ConditionSource,Planning snapshot,,,"Condition metric or source label from the EA survey / deficiency export (numeric 0–1 scores or text such as Deficiency Data). — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/02 JeffCoProjectListAllSchools.csv,ReplacementCost,Planning snapshot,,,"Extended replacement or deficiency cost in dollars for that row; summed for FCI and displays. — Full list of all potential projects, includes scores from EA survey, and direct cost for Asset Life Cycle information. Large file; refresh on engineering / PMO cycle."
Facility Data/03 UnitCostLibrary.csv,,,,,Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,SystemCategory,Planning snapshot,,,Project-list system category this library row applies to when merging costs. — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,Project,Planning snapshot,,,Named modernization or replacement package (ties to CostEstimateLink / project typing). — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,Unit,Planning snapshot,,,"Costing unit for UnitCost (e.g. per SF, per station). — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList"
Facility Data/03 UnitCostLibrary.csv,UnitCost,Planning snapshot,,,Numeric rate per Unit before multiplying by Value or project quantities. — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,Value,Planning snapshot,,,Default quantity or sizing anchor baked into the library example. — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,ScopeAssumption,Planning snapshot,,,Narrative for what is included in the base scope for this cost line. — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,UpgradeScopeAssumption,Planning snapshot,,,Narrative for optional upgrades beyond the base scope. — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/03 UnitCostLibrary.csv,SizeAssumptions,Planning snapshot,,,How default sizes are chosen when the project list does not supply quantities. — Cost assumptions for replacement / modernization estimates. Feeds into JeffCoProjectList
Facility Data/04 HistoricBondSpendingByArticulationArea.csv,,,,,Historic bond spending totals by articulation area for map overlays (formerly HistoricArticulationData.csv). — Whole-file refresh when bond or finance tables change.
Facility Data/04 HistoricBondSpendingByArticulationArea.csv,Articulation,Verify bond reporting snapshot,,,Articulation area name; should align with Map_Export / polygon labels for join to map overlays. — Whole-file refresh when bond or finance tables change.
Facility Data/04 HistoricBondSpendingByArticulationArea.csv,TotalSpending,Verify bond reporting snapshot,,,Total historic capital or bond spending attributed to that articulation area for map styling. — Whole-file refresh when bond or finance tables change.
Facility Data/05 Jeffco Room Schedule.csv,,,,,Full JeffCo space inventory to calculate SF by space type and school — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,JeffCoFacilityID,Verify district inventory date,,,District facility id; joins room rows to Decision Data Export and project list (primary key for SF rollups and ClassroomCount). — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,Facility Name,Verify district inventory date,,,Building label in the room inventory; fallback join when JeffCoFacilityID is missing (normalized CamelCase). — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,Campus Code,Verify district inventory date,,,District campus code (numeric); not the CDE UniqueID prefix. — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,SPACE,Verify district inventory date,,,"Room use type (e.g. Classroom, Art); filters which rows count as general classrooms for ClassroomCount. — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount)."
Facility Data/05 Jeffco Room Schedule.csv,ROOM#,Verify district inventory date,,,Room number or label within the building for traceability; not used directly in dashboard calculations. — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,AREA,Verify district inventory date,,,Room area in square feet; summed by CostEstimateLink bucket for school-profile unit values. — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,Department,Verify district inventory date,,,Instructional or support department label from the district export. — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/05 Jeffco Room Schedule.csv,CostEstimateLink,Verify district inventory date,,,EA modernization bucket text (e.g. modernize classrooms); must align with unit-cost and schedule bucket logic. — Used for SF by CostEstimateLink bucket in school-profile and for npm run precompute:ea-classrooms (ClassroomCount).
Facility Data/06 SchooltoSchoolDistances.csv,,,,,Origin-destination distances between schools; entire matrix. — Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,CDE Pairing,Verify routing job date,,,District pairing label or key for this origin–destination pair in the export. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Nth Closest to Origin,Verify routing job date,,,Rank of this destination among schools sorted by distance from the origin (1 = closest). — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Origin CDE Code,Verify routing job date,,,Origin school CDE / building code in the distance job output. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Origin CDE Prefix,Verify routing job date,,,Origin CDE prefix segment when the district splits code into prefix + body. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Origin Facility Name,Verify routing job date,,,Origin school name as emitted by the routing or pairing job. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Origin Grades,Verify routing job date,,,Grade span served at the origin; used with destination grades for overlap logic. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Destination CDE Code,Verify routing job date,,,Destination school CDE / building code. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Destination CDE Prefix,Verify routing job date,,,Destination CDE prefix segment when split in the export. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Destination Facility Name,Verify routing job date,,,Destination school name as emitted by the routing job. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Destination Grade,Verify routing job date,,,Grade span or grade label at the destination for overlap checks. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Network Distance (Miles),Verify routing job date,,,Driving or network path distance between origin and destination in miles. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Linear Distance (Miles),Verify routing job date,,,Straight-line (haversine) distance between sites in miles. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/06 SchooltoSchoolDistances.csv,Grade Overlap,Verify routing job date,,,Indicator or score for whether origin and destination grade bands overlap. — Origin-destination distances between schools; entire matrix. Regenerate when the school list or network assumptions change.
Facility Data/07 Schools.geojson,,Verify GIS publish date,,,School point locations and properties merged with map export. Source: District GIS — District GIS. Whole-file refresh.
Facility Data/08 ArticulationArea.geojson,,Verify GIS publish date,,,Articulation polygon boundaries. Source: District GIS — District GIS. Whole-file refresh.
Facility Data/09 Map_Export.csv,,,,,Schools location coordinates and articulation area
Facility Data/09 Map_Export.csv,Building Name,Verify GIS publish date,,,Human-readable site name; should align with Decision Data Export and Schools.geojson joins. — Schools location coordinates and articulation area. Refresh with district GIS / facilities map export.
Facility Data/09 Map_Export.csv,Building Code,Verify GIS publish date,,,Short building or site code from GIS; secondary key for map point lookup. — Schools location coordinates and articulation area. Refresh with district GIS / facilities map export.
Facility Data/09 Map_Export.csv,Latitude,Verify GIS publish date,,,WGS84 latitude in decimal degrees for the school map marker. — Schools location coordinates and articulation area. Refresh with district GIS / facilities map export.
Facility Data/09 Map_Export.csv,Longitude,Verify GIS publish date,,,WGS84 longitude in decimal degrees for the school map marker. — Schools location coordinates and articulation area. Refresh with district GIS / facilities map export.
Facility Data/09 Map_Export.csv,Articulation,Verify GIS publish date,,,Articulation area name or label assigned to the point for polygon overlays and legends. — Schools location coordinates and articulation area. Refresh with district GIS / facilities map export.
